4/9/22,2,2
5/9/22,2,2
6/9/22,5,7
7/9/22,10,17
8/9/22,11,22
9/9/22,12,25
10/9/22,12,225
11/9/22,13,277
12/9/22,15,325
13/9/22,17,400
14/9/22,18,412
15/9/22,22,615
16/9/22,23,715
17/9/22,26,781
18/9/22,27,858
19/9/22,22,336
20/9/22,28,435
21/9/22,35,534
22/9/22,41,653
23/9/22,46,757
24/9/22,57,893
25/9/22,67,1064
26/9/22,72,1205
27/9/22,81,1326
28/9/22,86,1425
29/9/22,93,1536
30/9/22,94,1637
1/10/22,109,1831
2/10/22,124,2189
3/10/22,129,2398
4/10/22,132,1079
5/10/22,137,1317
6/10/22,143,1483
7/10/22,144,1600
8/10/22,146,1792
9/10/22,148,1959
10/10/22,149,2099
11/10/22,150,2227
12/10/22,151,2308
13/10/22,151,2389
14/10/22,151,2493
15/10/22,151,2585
16/10/22,153,2684
17/10/22,153,2813
18/10/22,153,2901
19/10/22,154,2983
20/10/22,155,3054
21/10/22,155,3148
22/10/22,155,3268
23/10/22,156,3397
24/10/22,158,3503
25/10/22,158,3585
26/10/22,159,3667
27/10/22,160,3741
28/10/22,160,3804
29/10/22,160,3890
30/10/22,160,3978
31/10/22,160,4057
1/11/22,160,4114
2/11/22,161,4179
3/11/22,164,4250
4/11/22,164,4310
5/11/22,165,892
6/11/22,166,1181
7/11/22,166,1353
8/11/22,166,1532
9/11/22,166,1650
10/11/22,168,1734
11/11/22,168,1813
12/11/22,168,1885
13/11/22,168,1953
14/11/22,169,2036
15/11/22,170,2094
16/11/22,170,2147
17/11/22,170,2201
18/11/22,170,2260
19/11/22,170,2304
20/11/22,170,2358
21/11/22,172,2429
22/11/22,172,2485
23/11/22,172,2526
24/11/22,172,2573
25/11/22,172,2624
26/11/22,173,2742
27/11/22,173,2857
28/11/22,173,2934
29/11/22,173,2984
30/11/22,173,3023
1/12/22,173,3076
2/12/22,173,3125
3/12/22,173,3164
4/12/22,173,3215
5/12/22,173,3262
6/12/22,173,3320
7/12/22,173,3361
8/12/22,174,3411
9/12/22,174,3477
10/12/22,175,3541
11/12/22,175,3587
12/12/22,175,3634
13/12/22,175,3693
14/12/22,175,3760
15/12/22,175,3815
16/12/22,175,3854
17/12/22,175,3898
18/12/22,175,3945
19/12/22,175,3993
20/12/22,175,4034
21/12/22,175,4095
22/12/22,175,863,0,125,19076,43
23/12/22,175,920,0,192,28252,31
24/12/22,98,981,0,256,22713,27
25/12/22,98,1093,0,112,23907,3
26/12/22,98,1165,0,72,23783,9
27/12/22,100,1270,2,105,34576,27
28/12/22,100,1324,0,54,21127,17
29/12/22,100,1394,0,70,20870,19
30/12/22,100,1445,0,51,24178,26
31/12/22,100,1505,0,60,18522,3
1/1/23,100,1578,0,73,19414,0
2/1/23,100,1637,0,59,24991,1
3/1/23,100,1697,0,60,21040,8
4/1/23,100,1761,0,64,16149,6
5/1/23,100,1804,0,43,22386,10
6/1/23,100,1846,1,42,22952,9
7/1/23,100,1909,0,63,25663,10
8/1/23,99,1964,0,55,27854,6
9/1/23,100,2006,2,42,29827,43
10/1/23,100,2048,0,42,22725,14
11/1/23,100,2098,0,50,25780,8
12/1/23,100,2131,0,33,16921,33
13/1/23,100,2166,0,35,24755,9
14/1/23,100,2207,0,41,22551,5
15/1/23,100,2289,0,82,32089,14
16/1/23,100,2364,0,75,25466,18
17/1/23,100,2408,0,44,16546,19
18/1/23,100,2451,0,43,15301,15
19/1/23,100,2849,1,398,54205,50
20/1/23,100,1219,0,412,46462,42
